Uuid,Privilege name,Description,_order:1000
7dc14272-97cf-4637-9e1d-3d45ae53f7fc,o3: View Service Queues,,
e624d490-8df9-4c3a-af56-24a4d3f4aca4,o3: Edit Service Queues,,
3f73009a-48a5-472a-a237-6f8541594ef4,o3: Clear Queue Entry,,
