Uuid,Privilege name,Description,_order
e63a0b43-bec6-4f8e-b634-8df9ef4af7fb,o3: Add New Queue Service,Add a new service to the queue,
9f7d2a6b-4e3c-4a9f-b5c2-2d3e4f5a6b7c,o3: Add New Queue Service Room,Add a new service room to the queue,
d7a48c90-1b2c-4d3e-a4b5-6c7d8e9f0a1b,o3: Delete All Queue Entries,Delete all entries from the service queue,
d7a1b9c5-2b4f-4c9f-9e3c-6f1b43e12345,o3: View Service Queue Dashboard,View the service queue dashboard,
