Uuid,Privilege name,Description,_order
5e8a0cbf-363f-4850-a68d-5a40005b4329,o3: Manage Stocks,Manage the inventory of stock items,
813faad7-05b0-40c5-88d9-dcfce3926229,o3: Manage Stock User Scopes,Manage the access scopes for stock users,
41567983-1995-442a-9456-96c3ba40593f,o3: View Stock Admin Settings,View the administrative settings for the stock system,
a3c121f3-8eb6-4bcc-976e-81de59487dcd,o3: View Stock Items,View the list of available stock items,
68d0cfef-8046-47e3-9eb5-c396aeebc15d,o3: View Stock Locations,View the locations where stock items are stored,
5f6e0798-9f20-453f-a14b-ee01d9ea4936,o3: View Stock Operations,View the history of stock transactions and operations,
4d59da80-4d22-4b2b-bc32-b567598cd025,o3: View Stock Reports,Generate reports on stock levels and transactions,
5882cfb1-92a3-43f8-9d11-dbf6cd8d0426,o3: View Stock Sources,View the sources from which stock items are obtained,
