Uuid,Privilege name,Description,_order:1000
1e421224-1ee3-4ff9-be28-cc2ef309fb7c,o3: Manage Stocks,,
842909ac-c9c7-4808-9929-7412aefdcd1b,o3: View Stock Items,,
0efe51d0-7476-414d-b61b-82537799c5f7,o3: View Stock Operations,,
c4869521-ca7b-431a-ab85-8c7e41c21563,o3: View Stock Sources,,
b491f7d2-20c5-441a-b017-490aee33c076,o3: Manage Stock User Scopes,,
2f05349d-4830-42f9-817b-c8f648aeb9cf,o3: View Stock Locations,,
7dc979cc-85f8-4380-8d19-013ca3c8b1f8,o3: View Stock Reports,,
73e30a08-8b56-4fee-a6b0-a5c683a33bdc,o3: View Stock Admin Settings,,
